CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
10/02/2022,12:23,Brooklyn,11228.0,40.615227,-74.01272,2.0,1.0,0,0,0,0,2,1,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,4569789,Station Wagon/Sport Utility Vehicle,Sedan
06/07/2023,21:18,Brooklyn,11230.0,40.617004,-73.96912,1.0,1.0,1,1,0,0,0,0,Driver Inattention/Distraction,Unspecified,4636076,Sedan,Motorcycle
10/14/2022,14:02,Brooklyn,11230.0,40.620605,-73.9586,3.0,1.0,0,0,0,0,3,1,Unsafe Speed,Driver Inexperience,4572961,Sedan,E- SCOOTER
10/14/2022,6:30,Staten Island,10314.0,40.62036,-74.1317,4.0,1.0,0,0,0,0,4,1,Traffic Control Disregarded,Unspecified,4572941,AMBULANCE,Station Wagon/Sport Utility Vehicle
02/17/2020,0:35,Manhattan,10035.0,40.8076,-73.93719,2.0,1.0,0,0,0,0,2,1,Unsafe Speed,Unspecified,4289784,Sedan,Sedan
11/12/2022,11:15,Bronx,10451.0,40.818558,-73.92732,1.0,1.0,0,0,0,0,1,0,Unspecified,Unspecified,4581035,Station Wagon/Sport Utility Vehicle,E-Scooter
06/20/2022,12:59,Manhattan,10001.0,40.746037,-73.9886,4.0,1.0,2,1,1,0,1,0,Traffic Control Disregarded,Unspecified,4539320,Station Wagon/Sport Utility Vehicle,Bike
06/29/2023,9:32,Bronx,10458.0,40.872128,-73.88248,2.0,1.0,0,1,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,4642411,Sedan,Station Wagon/Sport Utility Vehicle
08/22/2022,16:40,Brooklyn,11201.0,40.70299,-73.99471,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,,4557775,Station Wagon/Sport Utility Vehicle,
07/03/2023,6:38,Manhattan,10033.0,40.847412,-73.93331,4.0,2.0,0,0,0,0,4,2,Traffic Control Disregarded,Unspecified,4643193,Sedan,Station Wagon/Sport Utility Vehicle
06/28/2022,17:41,Brooklyn,11234.0,40.623714,-73.91772,3.0,1.0,0,0,0,0,3,1,Unspecified,Unspecified,4541662,Sedan,Bus
07/06/2023,2:33,Queens,11419.0,40.69405,-73.82802,2.0,1.0,0,0,0,0,2,1,Unspecified,Unspecified,4643448,Sedan,Box Truck
12/30/2022,12:44,Brooklyn,11238.0,40.680954,-73.96768,1.0,1.0,0,0,0,0,1,1,Driver Inattention/Distraction,,4594304,Station Wagon/Sport Utility Vehicle,
07/01/2023,0:27,Queens,11372.0,40.753536,-73.8869,3.0,1.0,0,0,0,0,3,1,Traffic Control Disregarded,Unspecified,4643896,Motorcycle,
02/08/2023,5:58,Bronx,10467.0,40.87316,-73.87476,1.0,1.0,0,0,0,0,1,1,Driver Inattention/Distraction,Oversized Vehicle,4604527,Taxi,Forklift
03/03/2023,20:49,Brooklyn,11224.0,40.575924,-73.99114,1.0,1.0,1,1,0,0,0,0,Driver Inattention/Distraction,,4609976,Pick-up Truck,
02/17/2023,20:33,Queens,11691.0,40.59872,-73.76601,4.0,1.0,0,1,0,0,4,0,Unspecified,Unspecified,4609851,Station Wagon/Sport Utility Vehicle,Sedan
03/13/2023,18:34,Brooklyn,11225.0,40.666286,-73.95084,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4612732,Station Wagon/Sport Utility Vehicle,Sedan
